0.4254742547425474 [628, 1476] [0.2, [2, 3, 4, 5], [100, 120, 140, 160], 5]
0.4247967479674797 [627, 1476] [0.2, [2, 4, 4, 5], [100, 120, 140, 160], 5]
0.42073170731707316 [621, 1476] [0.2, [2, 5, 4, 5], [100, 120, 140, 160], 5]
0.42073170731707316 [621, 1476] [0.2, [2, 6, 4, 5], [100, 120, 140, 160], 5]
0.42276422764227645 [624, 1476] [0.2, [3, 3, 4, 5], [100, 120, 140, 160], 5]
0.4234417344173442 [625, 1476] [0.2, [3, 4, 4, 5], [100, 120, 140, 160], 5]
0.42140921409214094 [622, 1476] [0.2, [3, 5, 4, 5], [100, 120, 140, 160], 5]
0.42208672086720866 [623, 1476] [0.2, [3, 6, 4, 5], [100, 120, 140, 160], 5]
0.42276422764227645 [624, 1476] [0.2, [4, 3, 4, 5], [100, 120, 140, 160], 5]
0.4234417344173442 [625, 1476] [0.2, [4, 4, 4, 5], [100, 120, 140, 160], 5]
0.4186991869918699 [618, 1476] [0.2, [4, 5, 4, 5], [100, 120, 140, 160], 5]
0.42005420054200543 [620, 1476] [0.2, [4, 6, 4, 5], [100, 120, 140, 160], 5]
0.42140921409214094 [622, 1476] [0.2, [5, 3, 4, 5], [100, 120, 140, 160], 5]
0.42073170731707316 [621, 1476] [0.2, [5, 4, 4, 5], [100, 120, 140, 160], 5]
0.4180216802168022 [617, 1476] [0.2, [5, 5, 4, 5], [100, 120, 140, 160], 5]
0.4173441734417344 [616, 1476] [0.2, [5, 6, 4, 5], [100, 120, 140, 160], 5]
