0.4173441734417344 [616, 1476] [0.0, [2, 3, 4, 5], [100, 120, 140, 160], 10]
0.42005420054200543 [620, 1476] [0.0, [2, 4, 4, 5], [100, 120, 140, 160], 10]
0.42005420054200543 [620, 1476] [0.0, [2, 5, 4, 5], [100, 120, 140, 160], 10]
0.4173441734417344 [616, 1476] [0.0, [2, 6, 4, 5], [100, 120, 140, 160], 10]
0.4173441734417344 [616, 1476] [0.0, [3, 3, 4, 5], [100, 120, 140, 160], 10]
0.4186991869918699 [618, 1476] [0.0, [3, 4, 4, 5], [100, 120, 140, 160], 10]
0.4180216802168022 [617, 1476] [0.0, [3, 5, 4, 5], [100, 120, 140, 160], 10]
0.4159891598915989 [614, 1476] [0.0, [3, 6, 4, 5], [100, 120, 140, 160], 10]
0.4166666666666667 [615, 1476] [0.0, [4, 3, 4, 5], [100, 120, 140, 160], 10]
0.4173441734417344 [616, 1476] [0.0, [4, 4, 4, 5], [100, 120, 140, 160], 10]
0.41937669376693765 [619, 1476] [0.0, [4, 5, 4, 5], [100, 120, 140, 160], 10]
0.4180216802168022 [617, 1476] [0.0, [4, 6, 4, 5], [100, 120, 140, 160], 10]
0.4180216802168022 [617, 1476] [0.0, [5, 3, 4, 5], [100, 120, 140, 160], 10]
0.4180216802168022 [617, 1476] [0.0, [5, 4, 4, 5], [100, 120, 140, 160], 10]
0.4180216802168022 [617, 1476] [0.0, [5, 5, 4, 5], [100, 120, 140, 160], 10]
0.4173441734417344 [616, 1476] [0.0, [5, 6, 4, 5], [100, 120, 140, 160], 10]
