0.42140921409214094 [622, 1476] [0.0, [2, 3, 4, 5], [100, 120, 140, 160], 2]
0.4275067750677507 [631, 1476] [0.0, [2, 4, 4, 5], [100, 120, 140, 160], 2]
0.43089430894308944 [636, 1476] [0.0, [2, 5, 4, 5], [100, 120, 140, 160], 2]
0.43089430894308944 [636, 1476] [0.0, [2, 6, 4, 5], [100, 120, 140, 160], 2]
0.4254742547425474 [628, 1476] [0.0, [3, 3, 4, 5], [100, 120, 140, 160], 2]
0.4281842818428184 [632, 1476] [0.0, [3, 4, 4, 5], [100, 120, 140, 160], 2]
0.43224932249322495 [638, 1476] [0.0, [3, 5, 4, 5], [100, 120, 140, 160], 2]
0.4342818428184282 [641, 1476] [0.0, [3, 6, 4, 5], [100, 120, 140, 160], 2]
0.4261517615176152 [629, 1476] [0.0, [4, 3, 4, 5], [100, 120, 140, 160], 2]
0.43157181571815717 [637, 1476] [0.0, [4, 4, 4, 5], [100, 120, 140, 160], 2]
0.43360433604336046 [640, 1476] [0.0, [4, 5, 4, 5], [100, 120, 140, 160], 2]
0.4356368563685637 [643, 1476] [0.0, [4, 6, 4, 5], [100, 120, 140, 160], 2]
0.4261517615176152 [629, 1476] [0.0, [5, 3, 4, 5], [100, 120, 140, 160], 2]
0.42953929539295393 [634, 1476] [0.0, [5, 4, 4, 5], [100, 120, 140, 160], 2]
0.43021680216802166 [635, 1476] [0.0, [5, 5, 4, 5], [100, 120, 140, 160], 2]
0.4329268292682927 [639, 1476] [0.0, [5, 6, 4, 5], [100, 120, 140, 160], 2]
