0.4247967479674797 [627, 1476] [0.1, [2, 3, 4, 5], [100, 120, 140, 160], 4]
0.42140921409214094 [622, 1476] [0.1, [2, 4, 4, 5], [100, 120, 140, 160], 4]
0.4234417344173442 [625, 1476] [0.1, [2, 5, 4, 5], [100, 120, 140, 160], 4]
0.4247967479674797 [627, 1476] [0.1, [2, 6, 4, 5], [100, 120, 140, 160], 4]
0.4234417344173442 [625, 1476] [0.1, [3, 3, 4, 5], [100, 120, 140, 160], 4]
0.42208672086720866 [623, 1476] [0.1, [3, 4, 4, 5], [100, 120, 140, 160], 4]
0.4234417344173442 [625, 1476] [0.1, [3, 5, 4, 5], [100, 120, 140, 160], 4]
0.4241192411924119 [626, 1476] [0.1, [3, 6, 4, 5], [100, 120, 140, 160], 4]
0.4247967479674797 [627, 1476] [0.1, [4, 3, 4, 5], [100, 120, 140, 160], 4]
0.4234417344173442 [625, 1476] [0.1, [4, 4, 4, 5], [100, 120, 140, 160], 4]
0.42140921409214094 [622, 1476] [0.1, [4, 5, 4, 5], [100, 120, 140, 160], 4]
0.4234417344173442 [625, 1476] [0.1, [4, 6, 4, 5], [100, 120, 140, 160], 4]
0.4234417344173442 [625, 1476] [0.1, [5, 3, 4, 5], [100, 120, 140, 160], 4]
0.42140921409214094 [622, 1476] [0.1, [5, 4, 4, 5], [100, 120, 140, 160], 4]
0.42073170731707316 [621, 1476] [0.1, [5, 5, 4, 5], [100, 120, 140, 160], 4]
0.42208672086720866 [623, 1476] [0.1, [5, 6, 4, 5], [100, 120, 140, 160], 4]
