0.43157181571815717 [637, 1476] [0.2, [2, 3, 4, 5], [100, 120, 140, 160], 2]
0.43224932249322495 [638, 1476] [0.2, [2, 4, 4, 5], [100, 120, 140, 160], 2]
0.43224932249322495 [638, 1476] [0.2, [2, 5, 4, 5], [100, 120, 140, 160], 2]
0.4329268292682927 [639, 1476] [0.2, [2, 6, 4, 5], [100, 120, 140, 160], 2]
0.4349593495934959 [642, 1476] [0.2, [3, 3, 4, 5], [100, 120, 140, 160], 2]
0.43360433604336046 [640, 1476] [0.2, [3, 4, 4, 5], [100, 120, 140, 160], 2]
0.43360433604336046 [640, 1476] [0.2, [3, 5, 4, 5], [100, 120, 140, 160], 2]
0.43157181571815717 [637, 1476] [0.2, [3, 6, 4, 5], [100, 120, 140, 160], 2]
0.4281842818428184 [632, 1476] [0.2, [4, 3, 4, 5], [100, 120, 140, 160], 2]
0.43089430894308944 [636, 1476] [0.2, [4, 4, 4, 5], [100, 120, 140, 160], 2]
0.43021680216802166 [635, 1476] [0.2, [4, 5, 4, 5], [100, 120, 140, 160], 2]
0.42886178861788615 [633, 1476] [0.2, [4, 6, 4, 5], [100, 120, 140, 160], 2]
0.43089430894308944 [636, 1476] [0.2, [5, 3, 4, 5], [100, 120, 140, 160], 2]
0.43157181571815717 [637, 1476] [0.2, [5, 4, 4, 5], [100, 120, 140, 160], 2]
0.43224932249322495 [638, 1476] [0.2, [5, 5, 4, 5], [100, 120, 140, 160], 2]
0.42886178861788615 [633, 1476] [0.2, [5, 6, 4, 5], [100, 120, 140, 160], 2]
