0.42208672086720866 [623, 1476] [0.0, [2, 3, 4, 5], [100, 120, 140, 160], 5]
0.42208672086720866 [623, 1476] [0.0, [2, 4, 4, 5], [100, 120, 140, 160], 5]
0.42073170731707316 [621, 1476] [0.0, [2, 5, 4, 5], [100, 120, 140, 160], 5]
0.4166666666666667 [615, 1476] [0.0, [2, 6, 4, 5], [100, 120, 140, 160], 5]
0.42208672086720866 [623, 1476] [0.0, [3, 3, 4, 5], [100, 120, 140, 160], 5]
0.42073170731707316 [621, 1476] [0.0, [3, 4, 4, 5], [100, 120, 140, 160], 5]
0.42005420054200543 [620, 1476] [0.0, [3, 5, 4, 5], [100, 120, 140, 160], 5]
0.42005420054200543 [620, 1476] [0.0, [3, 6, 4, 5], [100, 120, 140, 160], 5]
0.42276422764227645 [624, 1476] [0.0, [4, 3, 4, 5], [100, 120, 140, 160], 5]
0.42208672086720866 [623, 1476] [0.0, [4, 4, 4, 5], [100, 120, 140, 160], 5]
0.42073170731707316 [621, 1476] [0.0, [4, 5, 4, 5], [100, 120, 140, 160], 5]
0.42276422764227645 [624, 1476] [0.0, [4, 6, 4, 5], [100, 120, 140, 160], 5]
0.4241192411924119 [626, 1476] [0.0, [5, 3, 4, 5], [100, 120, 140, 160], 5]
0.4241192411924119 [626, 1476] [0.0, [5, 4, 4, 5], [100, 120, 140, 160], 5]
0.41937669376693765 [619, 1476] [0.0, [5, 5, 4, 5], [100, 120, 140, 160], 5]
0.42140921409214094 [622, 1476] [0.0, [5, 6, 4, 5], [100, 120, 140, 160], 5]
