0.43157181571815717 [637, 1476] [0.1, [2, 3, 4, 5], [100, 120, 140, 160], 2]
0.43224932249322495 [638, 1476] [0.1, [2, 4, 4, 5], [100, 120, 140, 160], 2]
0.43089430894308944 [636, 1476] [0.1, [2, 5, 4, 5], [100, 120, 140, 160], 2]
0.4329268292682927 [639, 1476] [0.1, [2, 6, 4, 5], [100, 120, 140, 160], 2]
0.4363143631436314 [644, 1476] [0.1, [3, 3, 4, 5], [100, 120, 140, 160], 2]
0.4349593495934959 [642, 1476] [0.1, [3, 4, 4, 5], [100, 120, 140, 160], 2]
0.4349593495934959 [642, 1476] [0.1, [3, 5, 4, 5], [100, 120, 140, 160], 2]
0.4369918699186992 [645, 1476] [0.1, [3, 6, 4, 5], [100, 120, 140, 160], 2]
0.4349593495934959 [642, 1476] [0.1, [4, 3, 4, 5], [100, 120, 140, 160], 2]
0.43224932249322495 [638, 1476] [0.1, [4, 4, 4, 5], [100, 120, 140, 160], 2]
0.43157181571815717 [637, 1476] [0.1, [4, 5, 4, 5], [100, 120, 140, 160], 2]
0.4342818428184282 [641, 1476] [0.1, [4, 6, 4, 5], [100, 120, 140, 160], 2]
0.42953929539295393 [634, 1476] [0.1, [5, 3, 4, 5], [100, 120, 140, 160], 2]
0.42886178861788615 [633, 1476] [0.1, [5, 4, 4, 5], [100, 120, 140, 160], 2]
0.42953929539295393 [634, 1476] [0.1, [5, 5, 4, 5], [100, 120, 140, 160], 2]
0.4329268292682927 [639, 1476] [0.1, [5, 6, 4, 5], [100, 120, 140, 160], 2]
